municipio,latitud,longitud,altitud_msnm,cat_altitud
POINT (-74.19719423 5.753787787),5.753787787,-74.19719423,871.0,Bajo (<1.000 m)
POINT (-73.39951219 5.148323877),5.148323877,-73.39951219,1869.0,Alto (1.800-2.200 m)
POINT (-73.00435863 5.095211035),5.095211035,-73.00435863,1272.0,Medio (1.000-1.800 m)
POINT (-73.13777442 5.762027786),5.762027786,-73.13777442,2680.0,Muy alto (>2.200 m)
POINT (-72.69672674 5.382328949),5.382328949,-72.69672674,1193.0,Medio (1.000-1.800 m)
POINT (-72.46182431 6.443299758),6.443299758,-72.46182431,2204.0,Muy alto (>2.200 m)
POINT (-74.00504122 5.688801559),5.688801559,-74.00504122,972.0,Bajo (<1.000 m)
POINT (-72.3692906 5.621242742),5.621242742,-72.3692906,1481.0,Medio (1.000-1.800 m)
POINT (-72.75988018 6.030008561),6.030008561,-72.75988018,2642.0,Muy alto (>2.200 m)
POINT (-73.07837993 5.498483324),5.498483324,-73.07837993,3222.0,Muy alto (>2.200 m)
POINT (-72.43993232 5.768131812),5.768131812,-72.43993232,2485.0,Muy alto (>2.200 m)
POINT (-74.4528581 5.953466654),5.953466654,-74.4528581,171.0,Bajo (<1.000 m)
POINT (-74.26857067 5.595729831),5.595729831,-74.26857067,1126.0,Medio (1.000-1.800 m)
POINT (-73.310779 5.319934092),5.319934092,-73.310779,2956.0,Muy alto (>2.200 m)
POINT (-73.62894438 5.496268621),5.496268621,-73.62894438,2665.0,Muy alto (>2.200 m)
POINT (-73.19650995 5.379947879),5.379947879,-73.19650995,2006.0,Alto (1.800-2.200 m)
POINT (-73.74799466 5.699926051),5.699926051,-73.74799466,2595.0,Muy alto (>2.200 m)
POINT (-73.543102 5.573464882),5.573464882,-73.543102,2177.0,Alto (1.800-2.200 m)
POINT (-73.5211756 5.47053997),5.47053997,-73.5211756,2762.0,Muy alto (>2.200 m)
POINT (-73.04914067 5.234614686),5.234614686,-73.04914067,1843.0,Alto (1.800-2.200 m)
POINT (-73.54386522 5.994154088),5.994154088,-73.54386522,1795.0,Medio (1.000-1.800 m)
POINT (-73.13397018 4.798203543),4.798203543,-73.13397018,592.0,Bajo (<1.000 m)
POINT (-72.55184862 6.395388812),6.395388812,-72.55184862,2528.0,Muy alto (>2.200 m)
POINT (-73.74715898 5.532326922),5.532326922,-73.74715898,2545.0,Muy alto (>2.200 m)
POINT (-74.11403749 5.677345066),5.677345066,-74.11403749,1184.0,Medio (1.000-1.800 m)
POINT (-73.48974828 6.057614971),6.057614971,-73.48974828,1488.0,Medio (1.000-1.800 m)
POINT (-73.25377506 4.823002556),4.823002556,-73.25377506,879.0,Bajo (<1.000 m)
POINT (-72.9917278 5.892950301),5.892950301,-72.9917278,2899.0,Muy alto (>2.200 m)
