cod_municipio,nom_municipio,cod_departamento,nom_departamento,latitud,longitud
15696,SANTA SOFÍA,15,BOYACÁ,5.731602716,-73.60366287
15720,SATIVANORTE,15,BOYACÁ,6.13211793,-72.73032415
15723,SATIVASUR,15,BOYACÁ,6.083405978,-72.72410815
15740,SIACHOQUE,15,BOYACÁ,5.498747701,-73.21681778
15753,SOATÁ,15,BOYACÁ,6.323088045,-72.69604089
15755,SOCOTÁ,15,BOYACÁ,5.906513772,-72.53646361
15757,SOCHA,15,BOYACÁ,5.960498836,-72.68239784
15759,SOGAMOSO,15,BOYACÁ,5.646672053,-72.8709565
15761,SOMONDOCO,15,BOYACÁ,4.970974064,-73.42878785
15762,SORA,15,BOYACÁ,5.580573191,-73.44371838
15763,SOTAQUIRÁ,15,BOYACÁ,5.763010553,-73.24352232
15764,SORACÁ,15,BOYACÁ,5.494890461,-73.31899997
15774,SUSACÓN,15,BOYACÁ,6.215200578,-72.71575634
15776,SUTAMARCHÁN,15,BOYACÁ,5.640030759,-73.62598773
15778,SUTATENZA,15,BOYACÁ,5.030711335,-73.41224401
15790,TASCO,15,BOYACÁ,5.882294313,-72.72626817
15798,TENZA,15,BOYACÁ,5.071413139,-73.42479699
15804,TIBANÁ,15,BOYACÁ,5.301116649,-73.3932521
15806,TIBASOSA,15,BOYACÁ,5.747329389,-73.01114724
15808,TINJACÁ,15,BOYACÁ,5.577566497,-73.67614572
15810,TIPACOQUE,15,BOYACÁ,6.42035349,-72.69463583
15814,TOCA,15,BOYACÁ,5.580254287,-73.1606969
15816,TOGÜÍ,15,BOYACÁ,5.921830062,-73.48921806
15820,TÓPAGA,15,BOYACÁ,5.765350303,-72.83672958
15822,TOTA,15,BOYACÁ,5.501297215,-72.99633297
15832,TUNUNGUÁ,15,BOYACÁ,5.720301516,-73.94330927
15835,TURMEQUÉ,15,BOYACÁ,5.305697418,-73.50908714
15837,TUTA,15,BOYACÁ,5.678126998,-73.17343053
15839,TUTAZÁ,15,BOYACÁ,6.078051903,-72.85707832
15842,ÚMBITA,15,BOYACÁ,5.217241368,-73.46338477
15861,VENTAQUEMADA,15,BOYACÁ,5.383385481,-73.52097942
15879,VIRACACHÁ,15,BOYACÁ,5.440558216,-73.26627456
15897,ZETAQUIRA,15,BOYACÁ,5.285635983,-73.16763091
17001,MANIZALES,17,CALDAS,5.08343301,-75.50727881
17013,AGUADAS,17,CALDAS,5.616204006,-75.4554471
17042,ANSERMA,17,CALDAS,5.20029922,-75.75289078
17050,ARANZAZU,17,CALDAS,5.265539969,-75.47392619
17088,BELALCÁZAR,17,CALDAS,4.99467728,-75.81225989
17174,CHINCHINÁ,17,CALDAS,4.974340569,-75.65954686
17272,FILADELFIA,17,CALDAS,5.285743777,-75.58978784
17380,LA DORADA,17,CALDAS,5.410515691,-74.72114262
17388,LA MERCED,17,CALDAS,5.393185716,-75.55791071
17433,MANZANARES,17,CALDAS,5.23295391,-75.15263447
17442,MARMATO,17,CALDAS,5.492632029,-75.60209955
17444,MARQUETALIA,17,CALDAS,5.309142491,-75.04117892
17446,MARULANDA,17,CALDAS,5.235585244,-75.28316648
17486,NEIRA,17,CALDAS,5.183358589,-75.50692977
17495,NORCASIA,17,CALDAS,5.638062349,-74.85492707
17513,PÁCORA,17,CALDAS,5.500035035,-75.48245057
17524,PALESTINA,17,CALDAS,5.050342543,-75.66176266
17541,PENSILVANIA,17,CALDAS,5.407187836,-75.16683996
17614,RIOSUCIO,17,CALDAS,5.442275418,-75.75220499
17616,RISARALDA,17,CALDAS,5.097563816,-75.73335166
17653,SALAMINA,17,CALDAS,5.370332425,-75.40962177
17662,SAMANÁ,17,CALDAS,5.519692873,-74.99718577
17665,SAN JOSÉ,17,CALDAS,5.083424513,-75.8101789
17777,SUPÍA,17,CALDAS,5.45295802,-75.64035705
17867,VICTORIA,17,CALDAS,5.447542859,-74.83622502
17873,VILLAMARÍA,17,CALDAS,4.940211591,-75.43544014
17877,VITERBO,17,CALDAS,5.047822054,-75.879297
18001,FLORENCIA,18,CAQUETÁ,1.749138704,-75.55823906
18029,ALBANIA,18,CAQUETÁ,1.22786549,-75.88232651
18094,BELÉN DE LOS ANDAQUÍES,18,CAQUETÁ,1.536174657,-75.90947504
18150,CARTAGENA DEL CHAIRÁ,18,CAQUETÁ,0.647693081,-74.27235499
18205,CURILLO,18,CAQUETÁ,1.115379292,-75.97328452
18247,EL DONCELLO,18,CAQUETÁ,1.713734697,-75.26878109
18256,EL PAUJÍL,18,CAQUETÁ,1.476630016,-75.20231825
18410,LA MONTAÑITA,18,CAQUETÁ,1.302860442,-75.23572732
18460,MILÁN,18,CAQUETÁ,1.146692554,-75.38664764
18479,MORELIA,18,CAQUETÁ,1.38299611,-75.67381123
18592,PUERTO RICO,18,CAQUETÁ,2.018940891,-75.07308627
18610,SAN JOSÉ DEL FRAGUA,18,CAQUETÁ,1.304702314,-76.11000594
18753,SAN VICENTE DEL CAGUÁN,18,CAQUETÁ,1.308465061,-74.19746971
18756,SOLANO,18,CAQUETÁ,0.096131862,-72.32036402
18785,SOLITA,18,CAQUETÁ,0.943939454,-75.64668544
18860,VALPARAÍSO,18,CAQUETÁ,1.07534915,-75.73779004
19001,POPAYÁN,19,CAUCA,2.471704362,-76.59194419
19022,ALMAGUER,19,CAUCA,1.912440521,-76.83494519
19050,ARGELIA,19,CAUCA,2.329337283,-77.26314906
19075,BALBOA,19,CAUCA,2.084732945,-77.2088133
19100,BOLÍVAR,19,CAUCA,1.853951938,-76.96337454
19110,BUENOS AIRES,19,CAUCA,2.988923885,-76.62158951
19130,CAJIBÍO,19,CAUCA,2.643209848,-76.70138914
19137,CALDONO,19,CAUCA,2.803845691,-76.42719377
19142,CALOTO,19,CAUCA,3.062875557,-76.32127977
19212,CORINTO,19,CAUCA,3.136753606,-76.20964569
19256,EL TAMBO,19,CAUCA,2.534488312,-77.00511207
19290,FLORENCIA,19,CAUCA,1.69453474,-77.08735723
19300,GUACHENÉ,19,CAUCA,3.144389993,-76.39234811
19318,GUAPI,19,CAUCA,2.41326696,-77.69047531
19355,INZÁ,19,CAUCA,2.499058783,-76.13762531
19364,JAMBALÓ,19,CAUCA,2.84981013,-76.31124919
19392,LA SIERRA,19,CAUCA,2.187473572,-76.78228032
19397,LA VEGA,19,CAUCA,2.053933426,-76.7588062
19418,LÓPEZ DE MICAY,19,CAUCA,2.95819877,-77.24212158
19450,MERCADERES,19,CAUCA,1.793825164,-77.18060381
19455,MIRANDA,19,CAUCA,3.228235212,-76.21670827
19473,MORALES,19,CAUCA,2.773663981,-76.74605152
19513,PADILLA,19,CAUCA,3.194730618,-76.3362418
19517,PÁEZ,19,CAUCA,2.733887702,-75.99368264
19532,PATÍA,19,CAUCA,2.157983906,-77.0465762
19533,PIAMONTE,19,CAUCA,1.054128816,-76.4443271
19548,PIENDAMÓ - TUNÍA,19,CAUCA,2.702420026,-76.53770455
19573,PUERTO TEJADA,19,CAUCA,3.266724205,-76.41846353
